UKPRN	HE_Provider	Academic_employment_function	Contract_levels	Sex	Academic_Year	Contract_salary	Number	Salary_Band
10007774	The University of Oxford	Research only	Professor	Female	2019/20	Total	60	NA
10007774	The University of Oxford	Teaching only	All	Female	2019/20	Contract salary < £19,202	0	Band_1
10007774	The University of Oxford	Teaching only	All	Female	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007774	The University of Oxford	Teaching only	All	Female	2019/20	Contract salary ≥ £25,482 and < £34,189	5	Band_3
10007774	The University of Oxford	Teaching only	All	Female	2019/20	Contract salary ≥ £34,189 and < £45,892	20	Band_4
10007774	The University of Oxford	Teaching only	All	Female	2019/20	Contract salary ≥ £45,892 and < £61,618	5	Band_5
10007774	The University of Oxford	Teaching only	All	Female	2019/20	Contract salary ≥ £61,618	0	Band_6
10007774	The University of Oxford	Teaching only	All	Female	2019/20	Total	30	NA
10007774	The University of Oxford	Teaching only	Other contract level	Female	2019/20	Contract salary < £19,202	0	Band_1
10007774	The University of Oxford	Teaching only	Other contract level	Female	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007774	The University of Oxford	Teaching only	Other contract level	Female	2019/20	Contract salary ≥ £25,482 and < £34,189	5	Band_3
10007774	The University of Oxford	Teaching only	Other contract level	Female	2019/20	Contract salary ≥ £34,189 and < £45,892	20	Band_4
10007774	The University of Oxford	Teaching only	Other contract level	Female	2019/20	Contract salary ≥ £45,892 and < £61,618	5	Band_5
10007774	The University of Oxford	Teaching only	Other contract level	Female	2019/20	Contract salary ≥ £61,618	0	Band_6
10007774	The University of Oxford	Teaching only	Other contract level	Female	2019/20	Total	30	NA
10007774	The University of Oxford	All	All	Male	2019/20	Contract salary < £19,202	0	Band_1
10007774	The University of Oxford	All	All	Male	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007774	The University of Oxford	All	All	Male	2019/20	Contract salary ≥ £25,482 and < £34,189	420	Band_3
10007774	The University of Oxford	All	All	Male	2019/20	Contract salary ≥ £34,189 and < £45,892	1350	Band_4
10007774	The University of Oxford	All	All	Male	2019/20	Contract salary ≥ £45,892 and < £61,618	590	Band_5
10007774	The University of Oxford	All	All	Male	2019/20	Contract salary ≥ £61,618	1250	Band_6
10007774	The University of Oxford	All	All	Male	2019/20	Total	3610	NA
10007774	The University of Oxford	All	Other contract level	Male	2019/20	Contract salary < £19,202	0	Band_1
10007774	The University of Oxford	All	Other contract level	Male	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007774	The University of Oxford	All	Other contract level	Male	2019/20	Contract salary ≥ £25,482 and < £34,189	420	Band_3
10007774	The University of Oxford	All	Other contract level	Male	2019/20	Contract salary ≥ £34,189 and < £45,892	1345	Band_4
10007774	The University of Oxford	All	Other contract level	Male	2019/20	Contract salary ≥ £45,892 and < £61,618	565	Band_5
10007774	The University of Oxford	All	Other contract level	Male	2019/20	Contract salary ≥ £61,618	425	Band_6
10007774	The University of Oxford	All	Other contract level	Male	2019/20	Total	2755	NA
10007774	The University of Oxford	All	Other senior academic	Male	2019/20	Contract salary < £19,202	0	Band_1
10007774	The University of Oxford	All	Other senior academic	Male	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007774	The University of Oxford	All	Other senior academic	Male	2019/20	Contract salary ≥ £25,482 and < £34,189	0	Band_3
10007774	The University of Oxford	All	Other senior academic	Male	2019/20	Contract salary ≥ £34,189 and < £45,892	0	Band_4
10007774	The University of Oxford	All	Other senior academic	Male	2019/20	Contract salary ≥ £45,892 and < £61,618	10	Band_5
10007774	The University of Oxford	All	Other senior academic	Male	2019/20	Contract salary ≥ £61,618	145	Band_6
10007774	The University of Oxford	All	Other senior academic	Male	2019/20	Total	155	NA
10007774	The University of Oxford	All	Professor	Male	2019/20	Contract salary < £19,202	0	Band_1
10007774	The University of Oxford	All	Professor	Male	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007774	The University of Oxford	All	Professor	Male	2019/20	Contract salary ≥ £25,482 and < £34,189	0	Band_3
10007774	The University of Oxford	All	Professor	Male	2019/20	Contract salary ≥ £34,189 and < £45,892	0	Band_4
10007774	The University of Oxford	All	Professor	Male	2019/20	Contract salary ≥ £45,892 and < £61,618	15	Band_5
10007774	The University of Oxford	All	Professor	Male	2019/20	Contract salary ≥ £61,618	675	Band_6
10007774	The University of Oxford	All	Professor	Male	2019/20	Total	695	NA
10007774	The University of Oxford	Both teaching and research	All	Male	2019/20	Contract salary < £19,202	0	Band_1
10007774	The University of Oxford	Both teaching and research	All	Male	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007774	The University of Oxford	Both teaching and research	All	Male	2019/20	Contract salary ≥ £25,482 and < £34,189	5	Band_3
10007774	The University of Oxford	Both teaching and research	All	Male	2019/20	Contract salary ≥ £34,189 and < £45,892	65	Band_4
10007774	The University of Oxford	Both teaching and research	All	Male	2019/20	Contract salary ≥ £45,892 and < £61,618	180	Band_5
10007774	The University of Oxford	Both teaching and research	All	Male	2019/20	Contract salary ≥ £61,618	960	Band_6
10007774	The University of Oxford	Both teaching and research	All	Male	2019/20	Total	1215	NA
10007774	The University of Oxford	Both teaching and research	Other contract level	Male	2019/20	Contract salary < £19,202	0	Band_1
10007774	The University of Oxford	Both teaching and research	Other contract level	Male	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007774	The University of Oxford	Both teaching and research	Other contract level	Male	2019/20	Contract salary ≥ £25,482 and < £34,189	5	Band_3
10007774	The University of Oxford	Both teaching and research	Other contract level	Male	2019/20	Contract salary ≥ £34,189 and < £45,892	65	Band_4
10007774	The University of Oxford	Both teaching and research	Other contract level	Male	2019/20	Contract salary ≥ £45,892 and < £61,618	175	Band_5
10007774	The University of Oxford	Both teaching and research	Other contract level	Male	2019/20	Contract salary ≥ £61,618	315	Band_6
10007774	The University of Oxford	Both teaching and research	Other contract level	Male	2019/20	Total	560	NA
10007774	The University of Oxford	Both teaching and research	Other senior academic	Male	2019/20	Contract salary < £19,202	0	Band_1
10007774	The University of Oxford	Both teaching and research	Other senior academic	Male	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007774	The University of Oxford	Both teaching and research	Other senior academic	Male	2019/20	Contract salary ≥ £25,482 and < £34,189	0	Band_3
10007774	The University of Oxford	Both teaching and research	Other senior academic	Male	2019/20	Contract salary ≥ £34,189 and < £45,892	0	Band_4
10007774	The University of Oxford	Both teaching and research	Other senior academic	Male	2019/20	Contract salary ≥ £45,892 and < £61,618	0	Band_5
10007774	The University of Oxford	Both teaching and research	Other senior academic	Male	2019/20	Contract salary ≥ £61,618	100	Band_6
10007774	The University of Oxford	Both teaching and research	Other senior academic	Male	2019/20	Total	100	NA
10007774	The University of Oxford	Both teaching and research	Professor	Male	2019/20	Contract salary < £19,202	0	Band_1
10007774	The University of Oxford	Both teaching and research	Professor	Male	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007774	The University of Oxford	Both teaching and research	Professor	Male	2019/20	Contract salary ≥ £25,482 and < £34,189	0	Band_3
10007774	The University of Oxford	Both teaching and research	Professor	Male	2019/20	Contract salary ≥ £34,189 and < £45,892	0	Band_4
10007774	The University of Oxford	Both teaching and research	Professor	Male	2019/20	Contract salary ≥ £45,892 and < £61,618	5	Band_5
10007774	The University of Oxford	Both teaching and research	Professor	Male	2019/20	Contract salary ≥ £61,618	550	Band_6
10007774	The University of Oxford	Both teaching and research	Professor	Male	2019/20	Total	555	NA
10007774	The University of Oxford	Neither teaching nor research	All	Male	2019/20	Contract salary < £19,202	0	Band_1
10007774	The University of Oxford	Neither teaching nor research	All	Male	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007774	The University of Oxford	Neither teaching nor research	All	Male	2019/20	Contract salary ≥ £25,482 and < £34,189	0	Band_3
10007774	The University of Oxford	Neither teaching nor research	All	Male	2019/20	Contract salary ≥ £34,189 and < £45,892	0	Band_4
10007774	The University of Oxford	Neither teaching nor research	All	Male	2019/20	Contract salary ≥ £45,892 and < £61,618	0	Band_5
10007774	The University of Oxford	Neither teaching nor research	All	Male	2019/20	Contract salary ≥ £61,618	5	Band_6
10007774	The University of Oxford	Neither teaching nor research	All	Male	2019/20	Total	5	NA
10007774	The University of Oxford	Neither teaching nor research	Other senior academic	Male	2019/20	Contract salary < £19,202	0	Band_1
10007774	The University of Oxford	Neither teaching nor research	Other senior academic	Male	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007774	The University of Oxford	Neither teaching nor research	Other senior academic	Male	2019/20	Contract salary ≥ £25,482 and < £34,189	0	Band_3
10007774	The University of Oxford	Neither teaching nor research	Other senior academic	Male	2019/20	Contract salary ≥ £34,189 and < £45,892	0	Band_4
10007774	The University of Oxford	Neither teaching nor research	Other senior academic	Male	2019/20	Contract salary ≥ £45,892 and < £61,618	0	Band_5
10007774	The University of Oxford	Neither teaching nor research	Other senior academic	Male	2019/20	Contract salary ≥ £61,618	5	Band_6
10007774	The University of Oxford	Neither teaching nor research	Other senior academic	Male	2019/20	Total	5	NA
10007774	The University of Oxford	Neither teaching nor research	Professor	Male	2019/20	Contract salary < £19,202	0	Band_1
10007774	The University of Oxford	Neither teaching nor research	Professor	Male	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007774	The University of Oxford	Neither teaching nor research	Professor	Male	2019/20	Contract salary ≥ £25,482 and < £34,189	0	Band_3
10007774	The University of Oxford	Neither teaching nor research	Professor	Male	2019/20	Contract salary ≥ £34,189 and < £45,892	0	Band_4
10007774	The University of Oxford	Neither teaching nor research	Professor	Male	2019/20	Contract salary ≥ £45,892 and < £61,618	0	Band_5
10007774	The University of Oxford	Neither teaching nor research	Professor	Male	2019/20	Contract salary ≥ £61,618	0	Band_6
10007774	The University of Oxford	Neither teaching nor research	Professor	Male	2019/20	Total	0	NA
10007774	The University of Oxford	Research only	All	Male	2019/20	Contract salary < £19,202	0	Band_1
10007774	The University of Oxford	Research only	All	Male	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007774	The University of Oxford	Research only	All	Male	2019/20	Contract salary ≥ £25,482 and < £34,189	410	Band_3
10007774	The University of Oxford	Research only	All	Male	2019/20	Contract salary ≥ £34,189 and < £45,892	1260	Band_4
10007774	The University of Oxford	Research only	All	Male	2019/20	Contract salary ≥ £45,892 and < £61,618	395	Band_5
10007774	The University of Oxford	Research only	All	Male	2019/20	Contract salary ≥ £61,618	285	Band_6
10007774	The University of Oxford	Research only	All	Male	2019/20	Total	2350	NA
10007774	The University of Oxford	Research only	Other contract level	Male	2019/20	Contract salary < £19,202	0	Band_1
10007774	The University of Oxford	Research only	Other contract level	Male	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007774	The University of Oxford	Research only	Other contract level	Male	2019/20	Contract salary ≥ £25,482 and < £34,189	410	Band_3
10007774	The University of Oxford	Research only	Other contract level	Male	2019/20	Contract salary ≥ £34,189 and < £45,892	1260	Band_4
10007774	The University of Oxford	Research only	Other contract level	Male	2019/20	Contract salary ≥ £45,892 and < £61,618	375	Band_5
10007774	The University of Oxford	Research only	Other contract level	Male	2019/20	Contract salary ≥ £61,618	110	Band_6
10007774	The University of Oxford	Research only	Other contract level	Male	2019/20	Total	2155	NA
